,time,volume,open,close,high,low,ema,ma,contract_turnover,deal,commission,open_position,order_position
922,2022-05-17 13:30:00+00:00,7,111.51,111.63,111.63,111.51,111.5983678658432,111.57,-138421.19999999998,buy,55.36848,65.0,124.0
957,2022-05-18 08:35:00+00:00,35,110.84,110.31,110.85,110.3,110.51044029168968,110.566,138990.59999999998,sell,55.596239999999995,-61.0,-126.0
966,2022-05-18 09:20:00+00:00,4,110.3,110.62,110.62,110.3,110.32949690040928,110.268,-139381.2,buy,55.752480000000006,65.0,126.0
972,2022-05-18 09:50:00+00:00,6,110.2,110.11,110.25,110.11,110.31765265901107,110.339,138738.59999999998,sell,55.495439999999995,-61.0,-126.0
977,2022-05-18 10:15:00+00:00,7,110.4,110.5,110.5,110.4,110.32866291958412,110.309,-139230.0,buy,55.692,65.0,126.0
984,2022-05-18 10:50:00+00:00,2,110.18,110.2,110.2,110.18,110.45902695962484,110.489,138852.0,sell,55.540800000000004,-61.0,-126.0
990,2022-05-18 11:25:00+00:00,10,110.61,110.85,111.0,110.61,110.5074772962658,110.48,-139670.99999999997,buy,55.868399999999994,65.0,126.0
1002,2022-05-18 12:25:00+00:00,11,111.12,111.04,111.12,110.94,111.05938018666436,111.066,139910.40000000002,sell,55.964160000000014,-61.0,-126.0
1084,2022-05-19 11:20:00+00:00,18,105.54,105.84,105.84,105.54,105.50912598784544,105.492,-139708.8,buy,55.88352,71.0,132.0
1090,2022-05-19 11:50:00+00:00,8,105.6,105.43,105.6,105.43,105.71708635723328,105.763,139167.6,sell,55.66704000000001,-61.0,-132.0
1122,2022-05-19 14:30:00+00:00,115,106.13,106.15,106.35,106.05,105.87448010761668,105.862,-137995.0,buy,55.198,69.0,130.0
1144,2022-05-20 08:20:00+00:00,9,108.8,108.8,108.96,108.8,108.85522815184407,108.874,139264.0,sell,55.705600000000004,-59.0,-128.0
1153,2022-05-20 09:05:00+00:00,14,108.82,108.92,108.92,108.82,108.72353331021964,108.712,-139417.6,buy,55.76704,69.0,128.0
1223,2022-05-20 15:00:00+00:00,68,108.65,108.51,108.65,108.51,108.85832008756336,108.86100000000002,138892.8,sell,55.55712,-59.0,-128.0
1228,2022-05-20 15:25:00+00:00,19,108.71,108.83,109.0,108.6,108.78372492471657,108.773,-139302.4,buy,55.72096,69.0,128.0
1229,2022-05-20 15:30:00+00:00,7,109.06,109.2,109.21,109.06,108.8594113020408,108.78400000000002,75348.0,week end,30.139200000000002,0.0,-69.0
1246,2022-05-23 08:55:00+00:00,108,110.2,110.36,110.36,110.2,110.34921298200108,110.325,-69526.79999999999,buy,27.810719999999996,63.0,63.0
1276,2022-05-23 11:30:00+00:00,28,109.97,109.89,109.97,109.82,110.04401080545048,110.056,138461.4,sell,55.38456,-63.0,-126.0
1282,2022-05-23 12:00:00+00:00,32,109.88,110.0,110.09,109.88,109.89712581528909,109.869,-138600.0,buy,55.440000000000005,63.0,126.0
1290,2022-05-23 12:40:00+00:00,4,110.07,109.98,110.1,109.98,109.9934794245947,110.01000000000002,138574.8,sell,55.429919999999996,-63.0,-126.0
1292,2022-05-23 12:50:00+00:00,36,110.2,110.42,110.43,110.2,110.10175068919148,110.088,-139129.2,buy,55.651680000000006,63.0,126.0
1293,2022-05-23 12:55:00+00:00,46,110.11,109.9,110.11,109.72,110.0650687457021,110.073,138474.0,sell,55.3896,-63.0,-126.0
1315,2022-05-23 14:45:00+00:00,183,108.8,109.22,109.56,108.76,109.14095174909194,109.117,-139801.59999999998,buy,55.92063999999999,65.0,128.0
1351,2022-05-24 09:45:00+00:00,10,108.89,108.86,108.9,108.79,109.00315325125749,109.031,139340.8,sell,55.73632,-63.0,-128.0
1354,2022-05-24 10:05:00+00:00,11,108.98,108.98,108.98,108.82,108.97428904595544,108.967,-139494.4,buy,55.797760000000004,65.0,128.0
1378,2022-05-24 12:15:00+00:00,32,109.4,109.15,109.4,109.15,109.48254822586264,109.519,139712.0,sell,55.884800000000006,-63.0,-128.0
1382,2022-05-24 12:35:00+00:00,10,109.37,109.55,109.55,109.37,109.46270329279996,109.452,-138033.0,buy,55.2132,63.0,126.0
1388,2022-05-24 13:05:00+00:00,73,109.31,109.25,109.55,109.25,109.44775236112606,109.466,139840.0,sell,55.936,-65.0,-128.0
1391,2022-05-24 13:20:00+00:00,33,109.54,109.92,109.93,109.45,109.55045189426062,109.543,-138499.2,buy,55.39968000000001,61.0,126.0
1410,2022-05-24 14:55:00+00:00,235,110.35,110.39,110.55,110.3,110.16106325299124,110.098,67337.9,close,26.93516,0.0,-61.0
